alwlayt,almjmʿ,almʿtmdyt,almrkz_m_aw_alkhzan_kh,region_id,matched_region_ar,matched_region_fr
باجة,NA,تبرسق,خ. تبرسق,28,باجة,baja
باجة,NA,عمدون,خ. عمدون (القرية),28,باجة,baja
باجة,NA,مجاز الباب,خ. قصر الشيخ,28,باجة,baja
باجة,NA,مجاز الباب,سيدي مدين,28,باجة,baja
باجة,شركة التطور الفلاحي بالشمال العرفاوي EVAGRI,تستور,م. تستور,28,باجة,baja
باجة,NA,مجاز الباب,م. مجاز الباب,28,باجة,baja
باجة,شركة مركز فاقا لتجميع الحبوب,باجة الشمالية,م. بوحزام,28,باجة,baja
باجة,شركة الهيشري لتجميع الحبوب,باجة الشمالية,م. النقاشية,28,باجة,baja
باجة,NA,باجة الجنوبية,م. المنشار,28,باجة,baja
باجة,الشركة الفلاحية لتربية الماشية SEPRA,قبلاط,خ. بوثعلب,28,باجة,baja
باجة,مجمع الطرابلسي للحبوب GTC *,تستور,خ. الطرابلسي السلوقية,28,باجة,baja
باجة,مجمع الخدمات الفلاحية المتعددة GMA,تبرسق,م. عين مليتي,28,باجة,baja
باجة,محمد الهادي عوادي,نفزة,م. نفزة,28,باجة,baja
جندوبة,مصرف الخدمات الفلاحية المتعددة  CMA,بوسالم,م. منقوش oc,37,جندوبة,jndouba
جندوبة,NA,بوسالم,م. بوسالم,37,جندوبة,jndouba
جندوبة,NA,فرنانة,م. فرنانة,37,جندوبة,jndouba
جندوبة,NA,وادي مليز,وادي مليز القارشي,37,جندوبة,jndouba
جندوبة,NA,جندوبة,المرداسي,37,جندوبة,jndouba
جندوبة,الشركة التونسية للأنشطة الفلاحية CTA,جندوبة الشمالية,م. بلاريجيا,37,جندوبة,jndouba
جندوبة,مجمع الخدمات الفلاحية المتعددة GMA,جندوبة,م. بن بشير,37,جندوبة,jndouba
جندوبة,شركة إيهاب لتجميع الحبوب,جندوبة,خ. بن بشير,37,جندوبة,jndouba
جندوبة,NA,وادي مليز,خ. السلامي,37,جندوبة,jndouba
جندوبة,الشركة التعاونية المركزية  للقمح SMCEBLE,جندوبة الجنوبية,خ. جندوبة كلم 3,37,جندوبة,jndouba
جندوبة,NA,بوسالم,خ. بوسالم,37,جندوبة,jndouba
جندوبة,NA,بوسالم,خ. العزيمة,37,جندوبة,jndouba
جندوبة,الشركة التعاونية المركزية للخدمات الفلاحية الزراعات الكبرى SMCGC,جندوبة,خ. جندوبة,37,جندوبة,jndouba
جندوبة,NA,بوسالم,م. بوسالم,37,جندوبة,jndouba
الكاف,مصرف الخدمات الفلاحية المتعددة  CMA,الكاف الشرقية,م. الزعفران ( STEC ),36,الكاف,alkaf
الكاف,NA,الطويرف,م. الطويرف oc,36,الكاف,alkaf
الكاف,NA,الدهماني,خ. الزوارين,36,الكاف,alkaf
الكاف,NA,تاجروين,م. تاجروين oc,36,الكاف,alkaf
الكاف,مجمع الحبوب للشمال COCENORD,نبر,م. نبر oc,36,الكاف,alkaf
الكاف,NA,السرس,خ. السرس ( الرزقي ),36,الكاف,alkaf
الكاف,الشركة التعاونية المركزية  للقمح SMCEBLE,الكاف,خ. الكاف محطة,36,الكاف,alkaf
الكاف,NA,السرس,خ. السرس,36,الكاف,alkaf
الكاف,الشركة التعاونية المركزية للخدمات الفلاحية الزراعات الكبرى SMCGC,بهر,خ. برج العيفة,36,الكاف,alkaf
الكاف,NA,نبر,م. تل الغزلان,36,الكاف,alkaf
سليانة,مصرف الخدمات الفلاحية المتعددة  CMA,الكريب,خ. برج المسعودي,770,سليانة,sliana
سليانة,NA,قعفور,خ. الأخوات ( STEC ),770,سليانة,sliana
سليانة,"شركة الإحياء والتنمية ""المسعودي""",الكريب,خ. عين غرس الله,770,سليانة,sliana
سليانة,شركة إيهاب لتجميع الحبوب,مكثر,خ. بوعافية,770,سليانة,sliana
سليانة,NA,قعفور,خ. العويديدي,770,سليانة,sliana
سليانة,الشركة التعاونية المركزية  للقمح SMCEBLE,بوعرادة,خ. بوعرادة,770,سليانة,sliana
سليانة,NA,العروسة,خ. العروسة,770,سليانة,sliana
سليانة,NA,قعفور,خ. الأخوات,770,سليانة,sliana
سليانة,NA,برقو,خ. برقو,770,سليانة,sliana
سليانة,NA,بورويس,م. بورويس,770,سليانة,sliana
سليانة,الشركة التعاونية المركزية للخدمات الفلاحية الزراعات الكبرى SMCGC,كريب,م. كريب,770,سليانة,sliana
سليانة,NA,قعفور,خ. قعفور,770,سليانة,sliana
سليانة,NA,بوعرادة,خ. بوعرادة,770,سليانة,sliana
سليانة,NA,مكثر,م. مكثر,770,سليانة,sliana
سليانة,NA,الروحية,م. الروحية,770,سليانة,sliana
سليانة,NA,سليانة الشمالية,خ. سليانة (د/ح),770,سليانة,sliana
سليانة,NA,بوعرادة,خ. المحواشي,770,سليانة,sliana
سليانة,NA,برقو,خ. سيدي سعيد,770,سليانة,sliana
سليانة,محمد صالح المولهي,سليانة الشمالية,خ. المولهي مصوج,770,سليانة,sliana
سليانة,شركة السعيدي لتجميع الحبوب SSCC,برقو,م. برقو,770,سليانة,sliana
القصرين,مصرف الخدمات الفلاحية المتعددة  CMA,حيدرة,خ. حيدرة,18,القصرين,kasserine
القصرين,NA,تالة,خ. تالة,18,القصرين,kasserine
القصرين,ديوان الحبوب,فوسانة,م. فوسانة,18,القصرين,kasserine
القصرين,NA,تالة,م. تالة,18,القصرين,kasserine
القصرين,NA,العيون,م. العيون,18,القصرين,kasserine
القصرين,NA,فريانة,م. فريانة,18,القصرين,kasserine
سيدي بوزيد,مجمع الخدمات الفلاحية المتعددة GMA,سيدي بوزيد الشرقية,خ. القادري لسودة,167,سيدي بوزيد,sidi bouzid
سيدي بوزيد,ديوان الحبوب,سيدي علي بن عون,م. بن عون,167,سيدي بوزيد,sidi bouzid
سيدي بوزيد,NA,مزونة,م. مزونة,167,سيدي بوزيد,sidi bouzid
سيدي بوزيد,NA,منزل بوزيان,م. منزل بوزيان,167,سيدي بوزيد,sidi bouzid
القيروان,مجمع الخدمات الفلاحية المتعددة GMA,الشبيكة,خ. زعفرانة,13,القيروان,kairouan
القيروان,NA,السبيخة,خ. السبيخة,13,القيروان,kairouan
القيروان,مصرف الخدمات الفلاحية المتعددة  CMA,الشبيكة,خ. الباطن,13,القيروان,kairouan
القيروان,الشركة التعاونية المركزية  للقمح SMCEBLE,الوسلاتية,خ. الوسلاتية,13,القيروان,kairouan
القيروان,الشركة التعاونية المركزية للخدمات الفلاحية الزراعات الكبرى SMCGC,القيروان الجنوبية,بريكات العرقوب,13,القيروان,kairouan
القيروان,الشركة التعاونية المركزية للخدمات الفلاحية الأغالبة,القيروان الجنوبية,خ. القيروان,13,القيروان,kairouan
سوسة,الشركة التعاونية للخدمات الفلاحية الإخلاص,القلعة الكبرى,م. القلعة الكبرى oc,12,سوسة,sousse
سوسة,الشركة التعاونية الأساسية للخدمات الفلاحية الخوالدية,النفيضة,م. النفيضة oc,12,سوسة,sousse
قفصة,ديوان الحبوب,قفصة,خ. قفصة,16,قفصة,gafsa
* مـجـمـع الـطرابلسي للحبوب GTC : طاقة الخزن المصرح بها للتجميع 15 أق من جملة طاقة خزن فعلية 42 أق,NA,NA,NA,NA,NA,NA
عدد الخزانات,NA,NA,67,1301,الخزانات,alkhzanat
عدد المراكز,NA,NA,86,NA,NA,NA
المجموع,NA,NA,153,NA,NA,NA
